1	0	POLYGON ((-73.80058197500293 40.53171757154707,-73.80040419624436 40.53171757154707,-73.80040419624436 40.531965850703365,-73.80058197500293 40.531965850703365,-73.80058197500293 40.53171757154707))	1436139769500	1436201672201
1	1	POLYGON ((-74.27382934857516 40.59831634759242,-74.27329591726728 40.59831634759242,-74.27329591726728 40.59844386776139,-74.27382934857516 40.59844386776139,-74.27382934857516 40.59831634759242))	1447839512673	1447846945744
1	2	POLYGON ((-73.75170367619968 40.87761842400067,-73.75123895536697 40.87761842400067,-73.75123895536697 40.877893167137245,-73.75170367619968 40.877893167137245,-73.75170367619968 40.87761842400067))	1450484415405	1450536245721
1	3	POLYGON ((-73.90603823255161 40.65134966533579,-73.90573444445603 40.65134966533579,-73.90573444445603 40.65157063763027,-73.90603823255161 40.65157063763027,-73.90603823255161 40.65134966533579))	1402400802583	1402419939552
1	4	POLYGON ((-74.20285223334035 40.79648345022316,-74.2027792079714 40.79648345022316,-74.2027792079714 40.79659059874825,-74.20285223334035 40.79659059874825,-74.20285223334035 40.79648345022316))	1430861159748	1430921246860
1	5	POLYGON ((-73.85823226996608 40.83773519243403,-73.85783080916895 40.83773519243403,-73.85783080916895 40.8379127316878,-73.85823226996608 40.8379127316878,-73.85823226996608 40.83773519243403))	1414844284368	1414859997903
1	6	POLYGON ((-74.14846727857442 40.89184860259459,-74.14804949466517 40.89184860259459,-74.14804949466517 40.892140805508916,-74.14846727857442 40.892140805508916,-74.14846727857442 40.89184860259459))	1442234436978	1442283740855
1	7	POLYGON ((-73.87008608494877 40.71187141359581,-73.86966345088987 40.71187141359581,-73.86966345088987 40.71194998264026,-73.87008608494877 40.71194998264026,-73.87008608494877 40.71187141359581))	1389753490720	1389815581496
1	8	POLYGON ((-73.8616087085035 40.866313336688926,-73.86135635788287 40.866313336688926,-73.86135635788287 40.86648674963724,-73.8616087085035 40.86648674963724,-73.8616087085035 40.866313336688926))	1411600116531	1411655311072
1	9	POLYGON ((-74.14634179924037 40.50977172337363,-74.14625988818015 40.50977172337363,-74.14625988818015 40.5100649543866,-74.14634179924037 40.5100649543866,-74.14634179924037 40.50977172337363))	1407502047693	1407526865869
1	10	POLYGON ((-73.97682819950045 40.6005850791336,-73.97638201517748 40.6005850791336,-73.97638201517748 40.6010077891403,-73.97682819950045 40.6010077891403,-73.97682819950045 40.6005850791336))	1389807617917	1389864123363
1	11	POLYGON ((-73.83783441757502 40.65010257476664,-73.83766847349598 40.65010257476664,-73.83766847349598 40.65048614855443,-73.83783441757502 40.65048614855443,-73.83783441757502 40.65010257476664))	1409026639683	1409070640318
1	12	POLYGON ((-74.11809243570174 40.74524500038146,-74.11792077993337 40.74524500038146,-74.11792077993337 40.7453255775366,-74.11809243570174 40.7453255775366,-74.11809243570174 40.74524500038146))	1392688618939	1392748417186
1	13	POLYGON ((-74.23265444229068 40.89384712575794,-74.23249576995953 40.89384712575794,-74.23249576995953 40.89403126779537,-74.23265444229068 40.89403126779537,-74.23265444229068 40.89384712575794))	1438114986550	1438173508737
1	14	POLYGON ((-74.02538573468031 40.595378097525796,-74.02521789148422 40.595378097525796,-74.02521789148422 40.595629741640224,-74.02538573468031 40.595629741640224,-74.02538573468031 40.595378097525796))	1450827479022	1450859271541
1	15	POLYGON ((-74.0744039353052 40.73772105588247,-74.07401863030067 40.73772105588247,-74.07401863030067 40.73778746833084,-74.0744039353052 40.73778746833084,-74.0744039353052 40.73772105588247))	1425103949275	1425129813682
1	16	POLYGON ((-74.11847154912581 40.50464458199554,-74.11835496448984 40.50464458199554,-74.11835496448984 40.50489145056997,-74.11847154912581 40.50489145056997,-74.11847154912581 40.50464458199554))	1447978543939	1448000967900
1	17	POLYGON ((-74.13915550864024 40.65143581882295,-74.13910007085262 40.65143581882295,-74.13910007085262 40.65185545806642,-74.13915550864024 40.65185545806642,-74.13915550864024 40.65143581882295))	1409904743078	1409949238375
1	18	POLYGON ((-73.77738977587047 40.57836711429732,-73.77729604047684 40.57836711429732,-73.77729604047684 40.57847155503624,-73.77738977587047 40.57847155503624,-73.77738977587047 40.57836711429732))	1421497764704	1421538660823
1	19	POLYGON ((-74.24385190990436 40.83310606372874,-74.24331737312079 40.83310606372874,-74.24331737312079 40.833167527915094,-74.24385190990436 40.833167527915094,-74.24385190990436 40.83310606372874))	1403323639225	1403350223131
1	20	POLYGON ((-74.25411930034886 40.82566019741734,-74.25402708588031 40.82566019741734,-74.25402708588031 40.82602929221092,-74.25411930034886 40.82602929221092,-74.25411930034886 40.82566019741734))	1395626945932	1395641452282
1	21	POLYGON ((-74.22503305156307 40.74611203726697,-74.22453238324331 40.74611203726697,-74.22453238324331 40.74636165669399,-74.22503305156307 40.74636165669399,-74.22503305156307 40.74611203726697))	1446314846080	1446323257204
1	22	POLYGON ((-74.18299895549944 40.54454145708218,-74.18246019905884 40.54454145708218,-74.18246019905884 40.54470997699954,-74.18299895549944 40.54470997699954,-74.18299895549944 40.54454145708218))	1393800451953	1393823655972
1	23	POLYGON ((-73.89504669426725 40.817762910002365,-73.89476406842223 40.817762910002365,-73.89476406842223 40.81788411963064,-73.89504669426725 40.81788411963064,-73.89504669426725 40.817762910002365))	1422607661794	1422633212658
1	24	POLYGON ((-74.11063729488842 40.61861572113639,-74.11040308134181 40.61861572113639,-74.11040308134181 40.618977898403585,-74.11063729488842 40.618977898403585,-74.11063729488842 40.61861572113639))	1437991139692	1438025095922
1	25	POLYGON ((-73.94923992256572 40.5006172059404,-73.94900073371204 40.5006172059404,-73.94900073371204 40.50094566839012,-73.94923992256572 40.50094566839012,-73.94923992256572 40.5006172059404))	1421964985787	1421979948591
1	26	POLYGON ((-73.76651438334359 40.81173846062705,-73.76618941781713 40.81173846062705,-73.76618941781713 40.811872077951,-73.76651438334359 40.811872077951,-73.76651438334359 40.81173846062705))	1415722676948	1415740342983
1	27	POLYGON ((-73.88882724186816 40.640517079599014,-73.8887375554414 40.640517079599014,-73.8887375554414 40.64061388945305,-73.88882724186816 40.64061388945305,-73.88882724186816 40.640517079599014))	1394308098383	1394344427104
